time,cell_id,x,y,radius
0.17,4,-5.54913,0,5
0.17,5,0,0,5
0.17,6,5.54913,0,5
0.17,7,11.3181,0,5
0.17,8,17.5628,0,5
0.17,9,24.6116,0,5
0.17,10,32.8907,0,5
0.18,0,-33.174,0,5
0.18,1,-24.8529,0,5
0.18,2,-17.7445,0,5
0.18,3,-11.437,0,5
0.18,4,-5.60741,0,5
0.18,5,0,0,5
0.18,6,5.60741,0,5
0.18,7,11.437,0,5
0.18,8,17.7445,0,5
0.18,9,24.8529,0,5
0.18,10,33.174,0,5
0.19,0,-33.4497,0,5
0.19,1,-25.0892,0,5
0.19,2,-17.9238,0,5
0.19,3,-11.5552,0,5
0.19,4,-5.66569,0,5
0.19,5,0,0,5
0.19,6,5.66569,0,5
0.19,7,11.5552,0,5
0.19,8,17.9238,0,5
0.19,9,25.0892,0,5
0.19,10,33.4497,0,5
0.2,0,-33.7183,0,5
0.2,1,-25.3206,0,5
0.2,2,-18.1006,0,5
0.2,3,-11.6725,0,5
0.2,4,-5.7238,0,5
0.2,5,0,0,5
0.2,6,5.7238,0,5
0.2,7,11.6725,0,5
0.2,8,18.1006,0,5
0.2,9,25.3206,0,5
0.2,10,33.7183,0,5
0.21,0,-33.9802,0,5
0.21,1,-25.5472,0,5
0.21,2,-18.2749,0,5
0.21,3,-11.7888,0,5
0.21,4,-5.78161,0,5
0.21,5,0,0,5
0.21,6,5.78161,0,5
0.21,7,11.7888,0,5
0.21,8,18.2749,0,5
0.21,9,25.5472,0,5
0.21,10,33.9802,0,5
0.22,0,-34.2359,0,5
0.22,1,-25.7693,0,5
0.22,2,-18.4465,0,5
0.22,3,-11.9038,0,5
0.22,4,-5.83901,0,5
0.22,5,0,0,5
0.22,6,5.83901,0,5
0.22,7,11.9038,0,5
0.22,8,18.4465,0,5
0.22,9,25.7693,0,5
0.22,10,34.2359,0,5
0.23,0,-34.4855,0,5
0.23,1,-25.987,0,5
0.23,2,-18.6155,0,5
0.23,3,-12.0176,0,5
0.23,4,-5.89592,0,5
0.23,5,0,0,5
0.23,6,5.89592,0,5
0.23,7,12.0176,0,5
0.23,8,18.6155,0,5
0.23,9,25.987,0,5
0.23,10,34.4855,0,5
0.24,0,-34.7296,0,5
0.24,1,-26.2004,0,5
0.24,2,-18.7818,0,5
0.24,3,-12.13,0,5
0.24,4,-5.95228,0,5
0.24,5,0,0,5
0.24,6,5.95228,0,5
0.24,7,12.13,0,5
0.24,8,18.7818,0,5
0.24,9,26.2004,0,5
0.24,10,34.7296,0,5
0.25,0,-34.9682,0,5
0.25,1,-26.4097,0,5
0.25,2,-18.9454,0,5
0.25,3,-12.2409,0,5
0.25,4,-6.00803,0,5
0.25,5,0,0,5
0.25,6,6.00803,0,5
0.25,7,12.2409,0,5
0.25,8,18.9454,0,5
0.25,9,26.4097,0,5
0.25,10,34.9682,0,5
0.26,0,-35.2017,0,5
0.26,1,-26.6149,0,5
0.26,2,-19.1064,0,5
0.26,3,-12.3503,0,5
0.26,4,-6.06314,0,5
0.26,5,0,0,5
0.26,6,6.06314,0,5
0.26,7,12.3503,0,5
0.26,8,19.1064,0,5
0.26,9,26.6149,0,5
0.26,10,35.2017,0,5
0.27,0,-35.4302,0,5
0.27,1,-26.8162,0,5
0.27,2,-19.2648,0,5
0.27,3,-12.4582,0,5
0.27,4,-6.11756,0,5
0.27,5,0,0,5
0.27,6,6.11756,0,5
0.27,7,12.4582,0,5
0.27,8,19.2648,0,5
0.27,9,26.8162,0,5
0.27,10,35.4302,0,5
0.28,0,-35.654,0,5
0.28,1,-27.0137,0,5
0.28,2,-19.4206,0,5
0.28,3,-12.5646,0,5
0.28,4,-6.17129,0,5
0.28,5,0,0,5
0.28,6,6.17129,0,5
0.28,7,12.5646,0,5
0.28,8,19.4206,0,5
0.28,9,27.0137,0,5
0.28,10,35.654,0,5
0.29,0,-35.8732,0,5
0.29,1,-27.2075,0,5
0.29,2,-19.5737,0,5
0.29,3,-12.6694,0,5
0.29,4,-6.2243,0,5
0.29,5,0,0,5
0.29,6,6.2243,0,5
0.29,7,12.6694,0,5
0.29,8,19.5737,0,5
0.29,9,27.2075,0,5
0.29,10,35.8732,0,5
0.3,0,-36.088,0,5
0.3,1,-27.3977,0,5
0.3,2,-19.7244,0,5
0.3,3,-12.7726,0,5
0.3,4,-6.27659,0,5
0.3,5,0,0,5
0.3,6,6.27659,0,5
0.3,7,12.7726,0,5
0.3,8,19.7244,0,5
0.3,9,27.3977,0,5
0.3,10,36.088,0,5
0.31,0,-36.2986,0,5
0.31,1,-27.5844,0,5
0.31,2,-19.8725,0,5
0.31,3,-12.8743,0,5
0.31,4,-6.32814,0,5
0.31,5,0,0,5
0.31,6,6.32814,0,5
0.31,7,12.8743,0,5
0.31,8,19.8725,0,5
0.31,9,27.5844,0,5
0.31,10,36.2986,0,5
0.32,0,-36.505,0,5
0.32,1,-27.7677,0,5
0.32,2,-20.0182,0,5
0.32,3,-12.9745,0,5
0.32,4,-6.37896,0,5
0.32,5,0,0,5
0.32,6,6.37896,0,5
0.32,7,12.9745,0,5
0.32,8,20.0182,0,5
0.32,9,27.7677,0,5
0.32,10,36.505,0,5
0.33,0,-36.7075,0,5
0.33,1,-27.9476,0,5
0.33,2,-20.1614,0,5
0.33,3,-13.0731,0,5
0.33,4,-6.42904,0,5
0.33,5,0,0,5
0.33,6,6.42904,0,5
0.33,7,13.0731,0,5
0.33,8,20.1614,0,5
0.33,9,27.9476,0,5
0.33,10,36.7075,0,5
0.34,0,-36.9061,0,5
0.34,1,-28.1244,0,5
0.34,2,-20.3023,0,5
0.34,3,-13.1702,0,5
0.34,4,-6.47839,0,5
0.34,5,0,0,5
0.34,6,6.47839,0,5
0.34,7,13.1702,0,5
0.34,8,20.3023,0,5
0.34,9,28.1244,0,5
0.34,10,36.9061,0,5
0.35,0,-37.101,0,5
0.35,1,-28.298,0,5
0.35,2,-20.4408,0,5
0.35,3,-13.2658,0,5
0.35,4,-6.527,0,5
0.35,5,0,0,5
0.35,6,6.527,0,5
0.35,7,13.2658,0,5
0.35,8,20.4408,0,5
0.35,9,28.298,0,5
0.35,10,37.101,0,5
0.36,0,-37.2922,0,5
0.36,1,-28.4685,0,5
0.36,2,-20.577,0,5
0.36,3,-13.3599,0,5
0.36,4,-6.5749,0,5
0.36,5,0,0,5
0.36,6,6.5749,0,5
0.36,7,13.3599,0,5
0.36,8,20.577,0,5
0.36,9,28.4685,0,5
0.36,10,37.2922,0,5
0.37,0,-37.4799,0,5
0.37,1,-28.636,0,5
0.37,2,-20.711,0,5
0.37,3,-13.4525,0,5
0.37,4,-6.62207,0,5
0.37,5,0,0,5
0.37,6,6.62207,0,5
0.37,7,13.4525,0,5
0.37,8,20.711,0,5
0.37,9,28.636,0,5
0.37,10,37.4799,0,5
0.38,0,-37.6642,0,5
0.38,1,-28.8005,0,5
0.38,2,-20.8428,0,5
0.38,3,-13.5437,0,5
0.38,4,-6.66854,0,5
0.38,5,0,0,5
0.38,6,6.66854,0,5
0.38,7,13.5437,0,5
0.38,8,20.8428,0,5
0.38,9,28.8005,0,5
0.38,10,37.6642,0,5
0.39,0,-37.8451,0,5
0.39,1,-28.9623,0,5
0.39,2,-20.9724,0,5
0.39,3,-13.6334,0,5
0.39,4,-6.71431,0,5
0.39,5,0,0,5
0.39,6,6.71431,0,5
0.39,7,13.6334,0,5
0.39,8,20.9724,0,5
0.39,9,28.9623,0,5
0.39,10,37.8451,0,5
0.4,0,-38.0228,0,5
0.4,1,-29.1212,0,5
0.4,2,-21.0998,0,5
0.4,3,-13.7218,0,5
0.4,4,-6.75938,0,5
0.4,5,0,0,5
0.4,6,6.75938,0,5
0.4,7,13.7218,0,5
0.4,8,21.0998,0,5
0.4,9,29.1212,0,5
0.4,10,38.0228,0,5
0.41,0,-38.1974,0,5
0.41,1,-29.2774,0,5
0.41,2,-21.2252,0,5
0.41,3,-13.8088,0,5
0.41,4,-6.80377,0,5
0.41,5,0,0,5
0.41,6,6.80377,0,5
0.41,7,13.8088,0,5
0.41,8,21.2252,0,5
0.41,9,29.2774,0,5
0.41,10,38.1974,0,5
0.42,0,-38.3688,0,5
0.42,1,-29.4309,0,5
0.42,2,-21.3486,0,5
0.42,3,-13.8944,0,5
0.42,4,-6.84749,0,5
0.42,5,0,0,5
0.42,6,6.84749,0,5
0.42,7,13.8944,0,5
0.42,8,21.3486,0,5
0.42,9,29.4309,0,5
0.42,10,38.3688,0,5
0.43,0,-38.5372,0,5
0.43,1,-29.5818,0,5
0.43,2,-21.4699,0,5
0.43,3,-13.9787,0,5
0.43,4,-6.89055,0,5
0.43,5,0,0,5
0.43,6,6.89055,0,5
0.43,7,13.9787,0,5
0.43,8,21.4699,0,5
0.43,9,29.5818,0,5
0.43,10,38.5372,0,5
0.44,0,-38.7027,0,5
0.44,1,-29.7302,0,5
0.44,2,-21.5893,0,5
0.44,3,-14.0616,0,5
0.44,4,-6.93295,0,5
0.44,5,0,0,5
0.44,6,6.93295,0,5
0.44,7,14.0616,0,5
0.44,8,21.5893,0,5
0.44,9,29.7302,0,5
0.44,10,38.7027,0,5
0.45,0,-38.8653,0,5
0.45,1,-29.8761,0,5
0.45,2,-21.7068,0,5
0.45,3,-14.1433,0,5
0.45,4,-6.97472,0,5
0.45,5,0,0,5
0.45,6,6.97472,0,5
0.45,7,14.1433,0,5
0.45,8,21.7068,0,5
0.45,9,29.8761,0,5
0.45,10,38.8653,0,5
0.46,0,-39.0252,0,5
0.46,1,-30.0196,0,5
0.46,2,-21.8224,0,5
0.46,3,-14.2238,0,5
0.46,4,-7.01585,0,5
0.46,5,0,0,5
0.46,6,7.01585,0,5
0.46,7,14.2238,0,5
0.46,8,21.8224,0,5
0.46,9,30.0196,0,5
0.46,10,39.0252,0,5
0.47,0,-39.1823,0,5
0.47,1,-30.1607,0,5
0.47,2,-21.9361,0,5
0.47,3,-14.3029,0,5
0.47,4,-7.05636,0,5
0.47,5,0,0,5
0.47,6,7.05636,0,5
0.47,7,14.3029,0,5
0.47,8,21.9361,0,5
0.47,9,30.1607,0,5
0.47,10,39.1823,0,5
0.48,0,-39.3367,0,5
0.48,1,-30.2994,0,5
0.48,2,-22.0481,0,5
0.48,3,-14.3809,0,5
0.48,4,-7.09626,0,5
0.48,5,0,0,5
0.48,6,7.09626,0,5
0.48,7,14.3809,0,5
0.48,8,22.0481,0,5
0.48,9,30.2994,0,5
0.48,10,39.3367,0,5
0.49,0,-39.4886,0,5
0.49,1,-30.4359,0,5
0.49,2,-22.1582,0,5
0.49,3,-14.4577,0,5
0.49,4,-7.13556,0,5
0.49,5,0,0,5
0.49,6,7.13556,0,5
0.49,7,14.4577,0,5
0.49,8,22.1582,0,5
0.49,9,30.4359,0,5
0.49,10,39.4886,0,5
0.5,0,-39.6379,0,5
0.5,1,-30.5701,0,5
0.5,2,-22.2666,0,5
0.5,3,-14.5333,0,5
0.5,4,-7.17427,0,5
0.5,5,0,0,5
0.5,6,7.17427,0,5
0.5,7,14.5333,0,5
0.5,8,22.2666,0,5
0.5,9,30.5701,0,5
0.5,10,39.6379,0,5
